"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgvehicles_kitchenknife_useractions_unrestraintarget0","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties",
"str_cfgvehicles_kitchenknife_useractions_skincarcass1","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body",
"str_cfgvehicles_kitchenknife_useractions_skincarcass0","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body",
"str_cfgvehicles_kitchenknife_useractions_cancelaction1","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_kitchenknife_useractions_cancelaction0","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_kitchenknife1","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.","A sharp kitchen knife with slightly worn out blade and a sturdy handle.",
"str_cfgvehicles_kitchenknife0","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife","Kitchen Knife",
"str_cfgvehicles_improvisedfishingrod_useractions_startfishing20","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing",
"str_cfgvehicles_improvisedfishingrod_useractions_pull20","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out",
"str_cfgvehicles_improvisedfishingrod_useractions_check20","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait",
"str_cfgvehicles_improvisedfishingrod1","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.",
"str_cfgvehicles_improvisedfishingrod0","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod","Imrpovised Fishing Rod",
"str_cfgvehicles_iceaxe1","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.","An ice axe is a multi-purpose hiking and climbing tool used by mountaineers both in the ascent and descent of routes that involve frozen conditions with snow and/or ice. An ice axe can be held and employed in a number of different ways, depending on the terrain encountered.",
"str_cfgvehicles_iceaxe0","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe","Ice axe",
"str_cfgvehicles_heatpack_useractions_turnon1","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate",
"str_cfgvehicles_heatpack_useractions_turnon0","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate","Activate",
"str_cfgvehicles_heatpack1","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.","A heatpack keeps you warm.",
"str_cfgvehicles_heatpack0","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack","Heatpack",
"str_cfgvehicles_hayhook_useractions_unrestraintarget1","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties",
"str_cfgvehicles_hayhook_useractions_unrestraintarget0","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties","Cut off ties",
"str_cfgvehicles_hayhook_useractions_skincarcass1","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body",
"str_cfgvehicles_hayhook_useractions_skincarcass0","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body","Skin and quarter the body",
"str_cfgvehicles_hayhook_useractions_cancelaction1","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_hayhook_useractions_cancelaction0","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_hayhook1","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.","A hand tool is used for securing and moving hay stacks. It consists of a round wooden handle with a strong metal hook projecting at a right angle from the center of the handle. The appliance is held in a closed fist with the hook projecting between two fingers. Can be also used as a weapon inflicting stab and cut wounds.",
"str_cfgvehicles_hayhook0","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook","Hay Hook",
"str_cfgvehicles_handcuffs_useractions_restraintarget1","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff",
"str_cfgvehicles_handcuffs_useractions_restraintarget0","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff","Handcuff",
"str_cfgvehicles_handcuffs_useractions_cancelaction1","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_handcuffs_useractions_cancelaction0","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_handcuffs1","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.","Often used by Police to restrain an individual's  wrists, restricting their ability to resist or use objects. A key is required to unlock the handcuffs once used.",
"str_cfgvehicles_handcuffs0","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs","Handcuffs",
"str_cfgvehicles_handcuffkeys_useractions_unrestraintarget1","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs",
"str_cfgvehicles_handcuffkeys_useractions_unrestraintarget0","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs","Unlock Handcuffs",
"str_cfgvehicles_handcuffkeys_useractions_cancelaction1","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_handcuffkeys_useractions_cancelaction0","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_handcuffkeys1","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.","A pair of universal, metal keys that can be used to unlock any set of handcuffs. Cannot unlock non-standard handcuffs such as maximum security handcuffs.",
"str_cfgvehicles_handcuffkeys0","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys","Handcuff Keys",
"str_cfgvehicles_hammer1","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.","Commonly used to deliver a powerful blow to an object with its weighted, cross-peen, metal head that is mounted at a right angle to a sturdy wooden handle.",
"str_cfgvehicles_hammer0","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer","Hammer",
"str_cfgvehicles_hacksaw_useractions_unrestraintarget1","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs",
"str_cfgvehicles_hacksaw_useractions_unrestraintarget0","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs","Saw off handcuffs",
"str_cfgvehicles_hacksaw_useractions_cancelaction1","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_hacksaw_useractions_cancelaction0","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action","Cancel current action",
"str_cfgvehicles_hacksaw1","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.","A fine-tooth hand saw with a blade held under tension in a frame, used for cutting materials such as metal or plastics. A wound inflicted by this tool can be pretty nasty.",
"str_cfgvehicles_hacksaw0","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw","Hacksaw",
"str_cfgvehicles_flashlight1","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.","A standard battery powered flashlight.",
"str_cfgvehicles_flashlight0","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight","Flashlight",
"str_cfgvehicles_fishingrod_useractions_startfishing20","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing","Start fishing",
"str_cfgvehicles_fishingrod_useractions_pull20","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out","Pull out",
"str_cfgvehicles_fishingrod_useractions_openrod1","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open",
"str_cfgvehicles_fishingrod_useractions_openrod0","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open","Open",
"str_cfgvehicles_fishingrod_useractions_closerod1","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close",
"str_cfgvehicles_fishingrod_useractions_closerod0","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close","Close",
"str_cfgvehicles_fishingrod_useractions_check20","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait","Check the bait",
"str_cfgvehicles_fishingrod1","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.","Classic fishing rod. In combination with bait you can catch some fish.",
"str_cfgvehicles_fishingrod0","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod","Fishing Rod",
"str_cfgvehicles_fireextinguisher1","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.","The instructions read: 1. Hold upright. Pull ring pin. 2. Start back 10 feet. Aim at base of fire. 3. Squeeze lever. 4. Sweep side to side. Dry chemical powder type.",
"str_cfgvehicles_fireextinguisher0","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher","Fire Extinguisher",
"str_cfgvehicles_fieldshovel1","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.","An entrenching tool is a collapsible spade used by military forces for a variety of military purposes. Survivalists, freedivers, campers, hikers and other outdoors groups have found it to be indispensable in field use.",
"str_cfgvehicles_fieldshovel0","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel","Field Shovel",
